aah	a cry of delight
aardvark	a burrowing african animal
aba	a loose woven robe
aback	taken by surprise
abacus	a bead-counting frame
abalone	an edible sea snail
abandon	a total lack of restraint
abandonment	leaving something behind
abate	to become less intense
abatement	a lessening or reduction
abattoir	a slaughterhouse
abaya	a long loose robe
abbe	a french clergyman
abbess	a convent leader
abbey	a monastery building
abbot	a monastery leader
abbreviate	to shorten a word
abbreviated	made shorter than usual
abbreviation	a shortened word
abdicate	to give up a throne
abdication	giving up a throne
abdomen	the belly
abdominal	relating to the belly
abduct	to take by force
abducting	taking someone away by force
abduction	the act of kidnapping someone
abductor	someone who kidnaps another person
abed	lying in bed
aberrant	different from what is normal
aberration	something unusual or unexpected
abet	to help someone do wrong
abeyance	a temporary pause or suspension
abhor	to hate something strongly
abhorrence	a strong feeling of hatred
abhorrent	causing strong hatred or disgust
abide	to put up with something
abiding	lasting for a long time
abject	extremely bad or hopeless
ablation	removal of tissue
ablative	relating to wearing away
ablaze	on fire
ableism	unfair treatment of disabled people
ablution	the act of washing oneself
ably	in a skillful way
abnegation	giving up one's own desires
abnormal	not normal or usual
abnormality	something not normal
abnormally	not normally
aboard	on a vehicle
abode	a place where someone lives
abolish	to officially end something
abolishment	the official ending of something
abolition	official ending of a practice
abolitionism	the movement to end slavery
abolitionist	an anti-slavery advocate
abominable	very unpleasant or bad
abomination	something viewed with disgust
aboriginal	native from earliest times
aborigine	an original native
abort	to stop early
abortion	early ending of a pregnancy
abortive	failing to succeed
abound	to exist in large numbers
abounding	existing in large numbers
aboveground	located above the earth's surface
abracadabra	a magic word
abrasion	a skin scrape
abrasive	rough and harsh
abreast	side by side and level
abridged	shortened in length
abrogate	to officially cancel a rule
abrogation	official cancelling of a rule
abrupt	sudden and unexpected
abruptly	suddenly
abscess	a pus-filled swelling
abscond	to leave secretly and quickly
absent	not present in a place
absentee	someone not present
absenteeism	frequently being away from work
absentmindedly	without paying attention
absinthe	a strong green alcoholic drink
absolution	forgiveness for wrongdoing
absolutism	rule with total unlimited power
absolutist	believing in total unlimited power
absolve	to free someone from blame
absolved	freed from blame or guilt
absorb	to soak up a liquid
absorbable	able to be soaked up
absorbance	light soaked up
absorbed	fully soaked up or engrossed
absorbent	soaking up liquid
absorber	something that soaks up impact
absorbing	very interesting and engaging
absorption	soaking something up
abstain	to choose not to
abstention	a choice not to vote
abstinence	the practice of avoiding something
abstinent	choosing to avoid something
abstract	existing only as an idea
abstracted	lost in thought
abstraction	an idea, not a thing
abstractly	in terms of ideas
abstruse	hard to understand
absurd	completely unreasonable or silly
absurdity	something completely unreasonable
absurdly	in a ridiculous way
abundance	a very large amount
abundant	existing in large amounts
abundantly	in great amounts
abused	treated badly or harmed
abuser	a person who mistreats someone
abusive	cruel and harmful in behavior
abut	to be next to something
abutment	a touching support
abuzz	full of excitement or activity
aby	to pay the price
abysmal	extremely bad
abysmally	extremely badly
abyss	a very deep hole
abyssal	relating to great ocean depths
acacia	a thorny flowering tree
academe	the world of scholars
academia	the world of research
academically	related to schoolwork
academician	a learned society member
acanthus	a plant with spiky leaves
accede	to agree to a request
accelerate	to speed up
accelerated	made to go faster
acceleration	an increase in speed
accelerator	a device that increases speed
accelerometer	a device measuring speed change
accent	a way of pronouncing words
accented	spoken with a distinct pronunciation
accentuate	to make something more noticeable
acceptability	the quality of being acceptable
acceptable	good enough to be allowed
acceptably	well enough
acceptance	agreeing to receive something
accepting	willing to allow
acceptor	a receiver of something
accessibility	ease of reaching
accessible	easy to reach or use
accession	taking up a position
accessory	added as a helpful extra
accidental	happening by chance
accidentally	without meaning to
acclaim	praise for an achievement
acclamation	loud approval or praise
acclimate	to adjust to new surroundings
acclimation	adjusting to new conditions
acclimatization	getting used to a new place
accolade	an award for achievement
accommodate	to provide space for
accommodating	willing to help or adjust
accommodation	a place to stay
accommodative	willing to adjust
accompanied	joined by someone or something
accompaniment	supporting music
accompanist	a supporting musician
accompany	to go along with someone
accompanying	going along with something else
accomplice	a partner in a crime
accomplish	to succeed in doing something
accomplished	skilled and successful
accomplishment	something achieved through effort
accord	an official agreement
accordance	agreement with a rule
accordingly	fittingly
accordion	a bellows instrument
accountability	responsibility for one's actions
accountable	responsible for one's actions
accountancy	financial record-keeping
accountant	a financial record-keeper
accounting	the recording of money matters
accredit	to officially recognize as qualified
accreditation	official recognition of quality
accredited	officially recognized as qualified
accretion	a gradual buildup of material
accrual	gradual buildup owed
accrue	to build up over time
accrued	gradually built up over time
acculturation	adopting a different culture's customs
accumulate	to gather over time
accumulated	gathered together over time
accumulation	a gathered mass
accumulator	a device that stores something
accuracy	correctness
accurately	correctly
accursed	under a curse
accusation	a claim of wrongdoing
accusative	relating to blaming someone
accusatory	suggesting someone did wrong
accuse	to claim wrongdoing
accuser	a person who blames someone
accusing	suggesting someone did wrong
accustom	to make familiar with something
accustomed	familiar through habit
ace	extremely skilled
acerbic	sharply critical or bitter
acetaldehyde	an industrial chemical
acetaminophen	a common pain-relieving medicine
acetate	a fabric chemical
acetic	relating to vinegar
acetone	a strong-smelling solvent chemical
acetyl	an organic chemical group
acetylation	adding an acetyl group
acetylcholine	a nerve-signal chemical
acetylene	a welding gas
ache	a dull continuous pain
achievable	able to be accomplished
achiever	a successful person
aching	feeling a dull continuous pain
achy	feeling sore all over
acidic	containing or like acid
acidification	becoming more acidic
acidity	acid level
acidosis	excess body acid
acknowledge	to admit as true
